Designator,Mid X,Mid Y,Rotation,Layer
D1,113.04,-66.41,270.0,bottom
D10,168.55,-81.89,270.0,bottom
D11,187.08,-90.58,270.0,bottom
D12,205.57,-90.65,270.0,bottom
D13,113.07,-101.57,270.0,bottom
D14,131.57,-99.49,270.0,bottom
D15,150.03,-97.98,270.0,bottom
D16,168.56,-99.5,270.0,bottom
D17,187.07,-108.05,270.0,bottom
D18,205.57,-108.0,270.0,bottom
D19,91.69,-138.77,330.0,bottom
D2,131.58,-64.31,270.0,bottom
D20,109.12,-119.57,250.0,bottom
D21,131.57,-116.9,270.0,bottom
D22,105.231753,-65.365542,0.0,top
D23,123.731753,-63.365542,0.0,top
D24,142.231753,-61.865542,0.0,top
D25,160.731753,-63.365542,0.0,top
D26,179.231753,-71.965542,0.0,top
D27,197.731753,-71.965542,0.0,top
D28,105.231753,-82.865542,0.0,top
D29,123.731753,-80.865542,0.0,top
D3,150.06,-62.97,270.0,bottom
D30,142.231753,-79.365542,0.0,top
D31,160.731753,-80.865542,0.0,top
D32,179.231753,-89.465542,0.0,top
D33,197.731753,-89.465542,0.0,top
D34,105.231753,-100.415542,0.0,top
D35,123.731753,-98.365542,0.0,top
D36,142.231753,-96.865542,0.0,top
D37,160.731753,-98.365542,0.0,top
D38,179.231753,-106.965542,0.0,top
D39,197.731753,-106.965542,0.0,top
D4,168.57,-64.33,270.0,bottom
D40,88.68,-131.35,300.0,top
D41,101.39,-121.244199,20.0,top
D42,123.731751,-115.865542,0.0,top
D5,187.05,-73.14,270.0,bottom
D6,205.6,-73.04,270.0,bottom
D7,113.06,-83.94,270.0,bottom
D8,131.57,-81.9,270.0,bottom
D9,150.07,-80.33,270.0,bottom
J1,98.74,-58.59,90.0,top
J2,79.88,-94.28,90.0,top
J4,73.35,-85.4,0.0,top
JP1_2,80.099753,-90.38038,90.0,top
JP1,89.64,-90.38,90.0,bottom
JP2_2,82.339753,-90.38038,90.0,top
JP2,87.219753,-90.37962,90.0,bottom
JP3_2,84.679753,-90.38038,90.0,top
JP3,84.679753,-90.37962,90.0,bottom
JP4_2,87.219753,-90.38038,90.0,top
JP4,82.339753,-90.38038,90.0,bottom
JP5_2,89.64,-90.38038,90.0,top
JP5,80.099753,-90.38038,90.0,bottom
JP6_2,75.929228,-123.414304,300.0,top
JP6,75.929228,-123.414304,240.0,bottom
JP7_2,94.11981,-111.376658,300.0,top
JP7,94.11,-111.38,240.0,bottom
RSW1,71.16,-74.23,90.0,top
S1,105.231753,-69.615542,180.0,top
S10,160.731753,-85.115542,180.0,top
S11,179.231753,-93.715542,180.0,top
S12,197.731753,-93.715542,180.0,top
S13,105.231753,-104.615542,180.0,top
S14,123.731753,-102.615542,180.0,top
S15,142.231753,-101.115542,180.0,top
S16,160.731753,-102.615542,180.0,top
S17,179.231753,-111.215542,180.0,top
S18,197.731753,-111.215542,180.0,top
S19,85.016268,-133.585542,120.0,top
S2,123.731753,-67.615542,180.0,top
S20,102.867959,-125.306653,200.0,top
S21,123.731753,-120.115542,180.0,top
S3,142.231753,-66.115542,180.0,top
S4,160.731753,-67.615542,180.0,top
S5,179.231753,-76.215542,180.0,top
S6,197.731753,-76.215542,180.0,top
S7,105.231753,-87.115542,180.0,top
S8,123.731753,-85.115542,180.0,top
S9,142.231753,-83.615542,180.0,top
SW1,70.4,-64.37,270.0,top
Thumbstick1,82.485386,-111.769665,30.0,top
U1,85.4,-75.68,0.0,top
