Designator,Mid X,Mid Y,Rotation,Layer
D1,105.231753,-65.365542,0.0,top
D10,142.231753,-78.365542,0.0,top
D11,142.231753,-95.865542,0.0,top
D12,101.39,-121.244199,20.0,top
D13,164.64605,-66.098939,355.0,top
D14,163.120833,-83.532336,355.0,top
D15,161.595599,-100.965752,355.0,top
D16,123.731751,-115.865542,0.0,top
D17,184.090558,-74.214865,353.0,top
D18,181.957844,-91.584424,353.0,top
D19,179.82513,-108.953982,353.0,top
D2,105.231753,-82.865542,0.0,top
D20,202.452662,-76.469448,353.0,top
D21,200.319947,-93.839006,353.0,top
D22,198.187234,-111.208564,353.0,top
D23,113.04,-66.41,270.0,bottom
D24,113.06,-83.94,270.0,bottom
D25,113.07,-101.57,270.0,bottom
D26,89.0,-120.0,205.0,top
D27,131.58,-64.31,270.0,bottom
D28,131.57,-81.9,270.0,bottom
D29,131.57,-99.49,270.0,bottom
D3,105.231753,-100.415542,0.0,top
D30,92.0,-129.5,240.0,bottom
D31,150.06,-61.97,270.0,bottom
D32,150.07,-79.33,270.0,bottom
D33,150.03,-96.98,270.0,bottom
D34,109.12,-119.57,250.0,bottom
D35,171.356195,-67.143722,275.0,bottom
D36,170.820033,-85.234315,275.0,bottom
D37,169.295183,-102.77817,275.0,bottom
D38,131.57,-116.9,270.0,bottom
D39,191.707398,-76.333373,277.0,bottom
D4,77.704247,-112.148487,25.0,top
D40,189.5,-94.0,277.0,bottom
D41,187.47279,-111.862298,277.0,bottom
D42,210.131315,-78.494797,277.0,bottom
D43,207.95542,-95.969877,277.0,bottom
D44,205.840988,-113.190553,277.0,bottom
D5,123.731753,-63.365542,0.0,top
D6,123.731753,-80.865542,0.0,top
D7,123.731753,-98.365542,0.0,top
D8,82.264458,-130.336268,30.0,top
D9,142.231753,-60.865542,0.0,top
H1,112.5,-59.0,0.0,top
H2,135.5,-123.0,0.0,top
H3,189.561019,-105.63017,353.0,top
H4,191.63174,-88.273151,353.0,top
H5,90.89,-123.49,0.0,top
H6,71.0,-107.5,0.0,top
H7,93.0,-101.0,0.0,top
J1,98.73,-58.0,90.0,top
J2,79.750003,-105.461999,180.0,top
J3_2,83.67,-94.28,90.0,top
J3,79.750003,-105.461999,180.0,bottom
J4,71.0,-87.5,0.0,top
JP1_2,78.809753,-90.38038,90.0,top
JP1,88.35,-90.38,90.0,bottom
JP2_2,81.049753,-90.38038,90.0,top
JP2,85.929753,-90.37962,90.0,bottom
JP3_2,83.389753,-90.38038,90.0,top
JP3,83.389753,-90.37962,90.0,bottom
JP4_2,85.929753,-90.38038,90.0,top
JP4,81.049753,-90.38038,90.0,bottom
JP5_2,88.35,-90.38038,90.0,top
JP5,78.809753,-90.38038,90.0,bottom
R1_2,72.136472,-103.357361,0.0,top
R1,72.136472,-103.357361,0.0,bottom
R2_2,88.136471,-103.5,0.0,top
R2,88.136471,-103.5,0.0,bottom
RSW1,68.6,-72.25,90.0,top
S1,105.281753,-72.465542,180.0,top
S10,142.281753,-85.465542,180.0,top
S11,142.281753,-102.965542,180.0,top
S12,103.88970103951745,-127.96767596207356,200.0,top
S13,164.07705786426845,-73.1762777638546,175.0,top
S14,162.55182886426846,-90.60968476385459,175.0,top
S15,161.02659986426846,-108.04309176385459,175.0,top
S16,123.781753,-122.965542,180.0,top
S17,183.27491367142355,-81.26803612121736,173.0,top
S18,181.14220067142355,-98.63759412121738,173.0,top
S19,179.00948667142356,-116.00715112121738,173.0,top
S2,105.281753,-89.965542,180.0,top
S20,201.63701667142357,-83.52262112121737,173.0,top
S21,199.50430267142355,-100.89217812121737,173.0,top
S22,197.37158967142355,-118.26173612121737,173.0,top
S3,105.281753,-107.465542,180.0,top
S4,80.74977743531282,-118.56184627996741,205.0,top
S5,123.781753,-70.465542,180.0,top
S6,123.781753,-87.965542,180.0,top
S7,123.781753,-105.465542,180.0,top
S8,85.96830127018923,-136.44317240078564,210.0,top
S9,142.281753,-67.965542,180.0,top
SW1,69.0,-62.87,270.0,top
TP1_2,68.0,-80.0,270.0,top
TP1,68.0,-80.0,90.0,bottom
TP2_2,68.0,-82.5,270.0,top
TP2,68.0,-82.5,90.0,bottom
TP3_2,68.0,-85.0,270.0,top
TP3,68.0,-85.0,90.0,bottom
TP4_2,68.0,-87.5,270.0,top
TP4,68.0,-87.5,90.0,bottom
TP5_2,68.0,-90.0,270.0,top
TP5,68.0,-90.0,90.0,bottom
U1,83.559407,-75.477872,0.0,top
