Designator,Mid X,Mid Y,Rotation,Layer
D1,113.11,-49.25,270.0,bottom
D10,168.57,-64.33,270.0,bottom
D11,187.05,-73.14,270.0,bottom
D12,205.6,-73.04,270.0,bottom
D13,113.06,-83.94,270.0,bottom
D14,131.57,-81.9,270.0,bottom
D15,150.07,-80.33,270.0,bottom
D16,168.55,-81.89,270.0,bottom
D17,187.08,-90.58,270.0,bottom
D18,205.57,-90.65,270.0,bottom
D19,113.07,-101.57,270.0,bottom
D2,131.64,-47.41,270.0,bottom
D20,131.57,-99.49,270.0,bottom
D21,150.03,-97.98,270.0,bottom
D22,168.56,-99.5,270.0,bottom
D23,187.07,-108.05,270.0,bottom
D24,205.57,-108.0,270.0,bottom
D25,91.69,-138.77,330.0,bottom
D26,109.12,-119.57,250.0,bottom
D27,131.57,-116.9,270.0,bottom
D28,150.07,-115.32,270.0,bottom
D29,168.59,-116.92,270.0,bottom
D3,150.1,-45.68,270.0,bottom
D30,105.231753,-47.865542,0.0,top
D31,123.731753,-45.865542,0.0,top
D32,142.231753,-44.365542,0.0,top
D33,160.731753,-45.865542,0.0,top
D34,179.231753,-54.465542,0.0,top
D35,197.731753,-54.465542,0.0,top
D36,105.231753,-65.365542,0.0,top
D37,123.731753,-63.365542,0.0,top
D38,142.231753,-61.865542,0.0,top
D39,160.731753,-63.365542,0.0,top
D4,168.59,-47.2,270.0,bottom
D40,179.231753,-71.965542,0.0,top
D41,197.731753,-71.965542,0.0,top
D42,105.231753,-82.865542,0.0,top
D43,123.731753,-80.865542,0.0,top
D44,142.231753,-79.365542,0.0,top
D45,160.731753,-80.865542,0.0,top
D46,179.231753,-89.465542,0.0,top
D47,197.731753,-89.465542,0.0,top
D48,105.231753,-100.415542,0.0,top
D49,123.731753,-98.365542,0.0,top
D5,187.05,-55.69,270.0,bottom
D50,142.231753,-96.865542,0.0,top
D51,160.731753,-98.365542,0.0,top
D52,179.231753,-106.965542,0.0,top
D53,197.731753,-106.965542,0.0,top
D54,88.578021,-131.341084,300.0,top
D55,101.314515,-121.38,20.0,top
D56,123.731753,-115.865542,0.0,top
D57,142.231753,-114.365542,0.0,top
D58,160.731753,-115.865542,0.0,top
D6,205.59,-55.59,270.0,bottom
D7,113.04,-66.41,270.0,bottom
D8,131.58,-64.31,270.0,bottom
D9,150.06,-62.97,270.0,bottom
J1,81.099753,-78.269542,0.0,top
J2,70.031753,-76.065542,0.0,top
J3,72.831753,-76.065542,0.0,top
J4,70.031753,-85.165542,180.0,top
JP1_2,81.099753,-74.37038,90.0,top
JP1,88.719753,-74.36962,90.0,bottom
JP2_2,83.639753,-74.37038,90.0,top
JP2,86.179753,-74.36962,90.0,bottom
JP3_2,86.179753,-74.37038,90.0,top
JP3,83.639753,-74.37038,90.0,bottom
JP4_2,88.719753,-74.37038,90.0,top
JP4,81.099753,-74.37038,90.0,bottom
JP5,70.031753,-71.765922,270.0,top
JP6_2,81.14,-123.26,30.0,top
JP6,81.14,-123.26,150.0,bottom
JP7_2,90.31,-118.31,210.0,top
JP7,90.306658,-118.30019,330.0,bottom
RSW1,70.431753,-62.715542,270.0,top
S1,105.232,-52.116,180.0,top
S10,160.731753,-67.615542,180.0,top
S11,179.231753,-76.215542,180.0,top
S12,197.731753,-76.215542,180.0,top
S13,105.231753,-87.115542,180.0,top
S14,123.731753,-85.115542,180.0,top
S15,142.231753,-83.615542,180.0,top
S16,160.731753,-85.115542,180.0,top
S17,179.231753,-93.715542,180.0,top
S18,197.731753,-93.715542,180.0,top
S19,105.231753,-104.615542,180.0,top
S2,123.731753,-50.115542,180.0,top
S20,123.731753,-102.615542,180.0,top
S21,142.231753,-101.115542,180.0,top
S22,160.731753,-102.615542,180.0,top
S23,179.231753,-111.215542,180.0,top
S24,197.731753,-111.215542,180.0,top
S25,85.016268,-133.585542,120.0,top
S26,102.867959,-125.306653,200.0,top
S27,123.731753,-120.115542,180.0,top
S28,142.231753,-118.615542,180.0,top
S29,160.731753,-120.115542,180.0,top
S3,142.231753,-48.615542,180.0,top
S4,160.731753,-50.115542,180.0,top
S5,179.231753,-58.715542,180.0,top
S6,197.731753,-58.715542,180.0,top
S7,105.231753,-69.615542,180.0,top
S8,123.731753,-67.615542,180.0,top
S9,142.231753,-66.115542,180.0,top
Thumbstick1,80.45,-111.13,30.0,top
U1,85.4,-59.67,0.0,top
U2,70.631753,-43.089542,0.0,top
